epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,5613.32,0.6535,0.31131,0.81207,0.91897,0.93676,0.92836,0.76179,0.75379,0.45759,0.84065,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5867.27,0.65303,0.31096,0.81126,0.921,0.93699,0.93028,0.76429,0.75101,0.45523,0.84032,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6120.77,0.64982,0.30967,0.81111,0.92187,0.93901,0.93254,0.76572,0.75172,0.45077,0.83977,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6374.58,0.64598,0.30802,0.81111,0.92166,0.93894,0.93199,0.76507,0.75075,0.45052,0.84019,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6628.26,0.64814,0.30815,0.81069,0.92266,0.93877,0.93083,0.76559,0.74713,0.44855,0.83883,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6881.82,0.64497,0.30682,0.81014,0.92228,0.94129,0.93099,0.76629,0.74441,0.44624,0.83768,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7135.05,0.64268,0.30552,0.81029,0.92363,0.94063,0.93027,0.76656,0.74303,0.44615,0.8373,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7388.26,0.64239,0.30621,0.80933,0.92276,0.94162,0.92973,0.76619,0.7428,0.44549,0.83724,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7641.71,0.64031,0.30456,0.80901,0.92175,0.94191,0.92907,0.7653,0.74433,0.44706,0.83775,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7895.12,0.63727,0.30348,0.8091,0.92208,0.9414,0.92775,0.76489,0.74258,0.44765,0.83713,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8148.39,0.63591,0.30342,0.80836,0.92241,0.94108,0.92837,0.76474,0.74574,0.44898,0.83808,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8401.53,0.63322,0.30199,0.80845,0.92233,0.94095,0.92883,0.76423,0.74692,0.44899,0.83838,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
