epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,54778.6,0.67832,0.2202,0.00109,0.90991,0.93706,0.91878,0.74947,0.83019,0.45333,0.00237,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,55303.2,0.68325,0.22045,0.0011,0.91229,0.93627,0.91897,0.75019,0.82919,0.45161,0.00236,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,55822.1,0.67867,0.22033,0.0011,0.91198,0.9366,0.91911,0.7502,0.8289,0.45212,0.00236,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,56346.2,0.67641,0.21898,0.00109,0.91272,0.93548,0.91955,0.75094,0.82709,0.45057,0.00235,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,56865.7,0.67688,0.21913,0.00109,0.9129,0.93566,0.91983,0.75143,0.82743,0.45076,0.00235,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,57383.5,0.67478,0.2185,0.00108,0.91334,0.93526,0.92015,0.75165,0.82746,0.45056,0.00235,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,57912.3,0.66982,0.21835,0.00108,0.91295,0.93598,0.92025,0.75197,0.82722,0.4502,0.00234,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,58437,0.66646,0.21529,0.00107,0.91367,0.93551,0.92006,0.75179,0.82711,0.45096,0.00234,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,58955.3,0.66257,0.21402,0.00106,0.91262,0.93655,0.92023,0.75186,0.82719,0.45106,0.00234,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,59479.1,0.65654,0.2134,0.00106,0.9126,0.93715,0.9207,0.75232,0.82668,0.4513,0.00234,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,59998.4,0.65355,0.21306,0.00106,0.9134,0.93705,0.9208,0.75282,0.8257,0.45205,0.00233,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,60526,0.65539,0.21001,0.00105,0.91328,0.93716,0.92107,0.75331,0.82532,0.45216,0.00233,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,61048,0.6507,0.21066,0.00105,0.91325,0.93743,0.92073,0.75298,0.82563,0.45295,0.00233,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,61566.6,0.64873,0.21037,0.00104,0.91356,0.93729,0.92063,0.75273,0.82574,0.45297,0.00233,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,62085.7,0.64598,0.20952,0.00104,0.91349,0.93742,0.92079,0.75318,0.82474,0.45295,0.00233,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,62609.8,0.64629,0.20946,0.00104,0.91382,0.93723,0.92094,0.75317,0.82486,0.45382,0.00233,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,63129.2,0.6408,0.20731,0.00103,0.91365,0.93705,0.92049,0.75268,0.825,0.45351,0.00233,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,63649.3,0.63826,0.20631,0.00102,0.91353,0.9365,0.92002,0.75221,0.82593,0.45519,0.00233,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,64168.2,0.63767,0.20586,0.00102,0.91314,0.9367,0.91995,0.75224,0.82678,0.45574,0.00233,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,64717.6,0.63638,0.20583,0.00101,0.9131,0.93642,0.91976,0.75192,0.82713,0.45637,0.00234,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,65241,0.63414,0.20602,0.00101,0.91243,0.93675,0.91996,0.75184,0.82811,0.45719,0.00234,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,65735.4,0.56927,0.17877,0.00103,0.91299,0.93562,0.91955,0.75112,0.83037,0.45977,0.00235,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,66231.8,0.5593,0.1754,0.00101,0.91249,0.93605,0.91944,0.75028,0.83212,0.46107,0.00236,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,66725.4,0.55503,0.17362,0.00101,0.9122,0.93645,0.91851,0.74912,0.83391,0.46228,0.00236,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,67227.7,0.55293,0.17364,0.00101,0.91194,0.93669,0.91817,0.7488,0.83577,0.46279,0.00237,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,67735.9,0.54975,0.17222,0.001,0.91151,0.93678,0.91821,0.74831,0.83777,0.46389,0.00238,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,68230.7,0.54905,0.17135,0.00099,0.91062,0.93775,0.9179,0.74754,0.83885,0.46439,0.00238,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,68725.7,0.54647,0.16999,0.00098,0.9107,0.93801,0.91796,0.74749,0.83999,0.46489,0.00239,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,69220.6,0.54647,0.16988,0.00098,0.9111,0.93761,0.91809,0.74707,0.84166,0.46623,0.00239,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,69717.9,0.54273,0.16921,0.00098,0.91089,0.93803,0.91774,0.74672,0.84277,0.46705,0.0024,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,70211.9,0.54058,0.16826,0.00097,0.91043,0.93788,0.91753,0.74627,0.84359,0.4685,0.0024,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
